ChargeType,ChargeLevel,EffectiveDate,InactiveDate,ShortDescription,Statute,LongDescription,ChargeCode
F,E,20200828,99991231,SOLID WASTE MANAGEMENT SERVICE PROVIDER FAIL TO NOTIFY SUBDIVISION OF PRIOR CONV,260208,FAILURE BY PROVIDER OF SOLID WASTE MANAGEMENT SERVICES TO NOTIFY SUBDIVISION OF PRIOR CONVICTIONS,260.208-001Y202026
F,E,20200828,99991231,CRIMINAL DISPOSITION OF DEMOLITION WASTE,260211,CRIMINAL DISPOSITION OF DEMOLITION WASTE,260.211-001Y202055
M,D,20200828,99991231,DISPOSE OVER 2000 LBS/400 CU FT OF PERSONAL CONSTRUCTION/DEMO WASTE ON PROPERTY,260211,KNOWINGLY DISPOSE/CAUSE DISPOSAL OF MORE THAN 2000 POUNDS OR MORE THAN 400 CUBIC FEET OF PERSONAL CONSTRUCTION/DEMOLITION WASTE ON PROPERTY,260.211-002N202055
F,E,20200828,99991231,RECEIVE MONEY/GOODS/SERVICES PERMIT TO DISPOSE CONSTRUCT/DEMO WASTE ON PROPERTY,260211,RECEIVE MONEY/GOODS/SERVICES TO PERMIT ANOTHER TO DISPOSE CONSTRUCT/DEMOLITION WASTE ON PROPERTY,260.211-003Y202055
F,E,20200828,99991231,CRIMINAL DISPOSITION OF SOLID WASTE,260212,CRIMINAL DISPOSITION OF SOLID WASTE,260.212-001Y202055
I,,20200828,99991231,ILLEGAL WASTE DISPOSAL,260216,ILLEGAL DISPOSAL OF WASTE IN ANOTHER'S RECEPTACLE,260.216-001N202055
M,C,20200828,99991231,ILLEGAL DISP LEAD ACID BATTERY,260260,ILLEGAL DISPOSAL OF LEAD ACID BATTERY,260.260-001N202055
M,C,20200828,99991231,"SALE/PROMOTE ALK-MANG,MERC BTY",260267,SELL/OFFER FOR SALE/OFFER FOR PROMOTIONAL PURPOSES ALKALINE-MANGANESE OR BUTTON CELL MERCURIC-OXIDE BATTERY,260.267-001N202055
M,A,20200828,99991231,"ILLEGAL DISP WST TIRES, SUBSQN",260270,ILLEGAL DISPOSAL OF WASTE TIRES - SUBSEQUENT OFFENSE,260.270-001Y202055
M,C,20200828,99991231,"ILLEGAL DISP WST TIRES, 1ST OF",260270,ILLEGAL DISPOSAL OF WASTE TIRES - 1ST OFFENSE,260.270-002N202055
M,A,20200828,99991231,SELL PRDCTS UNLBLD PLASTIC CON,260281,SELLING PRODUCTS IN UNLABELED PLASTIC CONTAINER,260.281-001Y202055
F,U,20200828,99991231,VIO HAZD WASTE MANAGEMEN,260425,VIOLATION OF HAZARDOUS WASTE MANAGEMENT OR TRANSPORTATION PRACTICES - 2ND OFFENSE,260.425-001Y202055
M,U,20200828,99991231,VIO HAZD WASTE MANAGEMEN,260425,VIOLATE HAZARDOUS WASTE MANAGEMENT/TRANSPORTING PRACTICE - 1ST OFFENSE,260.425-002Y202055
M,A,20200828,99991231,MIN CO SB FLS INF RC CL-UP ENV,260575,MINING COMPANY SUBMIT FALSE/FRAUDULENT INFORMATION REGARDING CLEAN-UP OF ENVIRONMENTAL VIOLATIONS,260.575-001Y202055
M,A,20200828,99991231,VIO NURSRY REQS OF SEC 263.070,263070,VIOLATE NURSERY DEALER REGISTRATION INSPECTION CERTIFICATE AND REQUIREMENTS OF THIS SECTION,263.070-001Y202055
M,A,20200828,99991231,VIOLATION OF APICULTURE LAW,264101,VIOLATION OF MISSOURI APICULTURE LAW,264.101-001Y202055
M,A,20200828,99991231,ENG IN MISLDNG OR DECPTVE PRAC,265494,ENGAGE IN MISLEADING/DECEPTIVE PRACTICE IN ADVERTISEMENT/OFFER FOR SALE/SELL/ALL OR PART OF CARCASS/FOOD PLAN,265.494-001Y202026
M,A,20200828,99991231,NO LIC MNUFACT/DISTR COMM FEED,266165,KNOWINGLY FAIL TO OBTAIN A LICENSE TO MANUFACTURE/DISTRIBUTE COMMERCIAL FEED,266.165-001Y202073
M,A,20200828,99991231,NO QTR TONNAGE RPT COMM FEED,266190,KNOWINGLY FAIL TO FILE A QUARTERLY TONNAGE REPORT REGARDING COMMERCIAL FEED,266.190-001Y202073
M,A,20200828,99991231,QUARNTN VLTNS/INTRFR W/VETERIN,267230,QUARANTINE VIOLATIONS/INTERFERENCE WITH STATE VETERINARIAN NOTIFIED TO QUARANTINE ANIMALS,267.230-001Y202055
F,U,20200828,99991231,BRAND ANIMAL BELONGING TO ANOTHER,268151,BRAND/ATTEMPT TO BRAND/CAUSE TO BE BRANDED AN ANIMAL BELONGING TO ANOTHER,268.151-001Y202073
F,U,20200828,99991231,BRAND ANIMAL USING ANOTHERS BRAND,268151,BRAND/ATTEMPT TO BRAND/CAUSE TO BE BRANDED AN ANIMAL USING THE RECORDED BRAND OF ANOTHER,268.151-002Y202073
M,U,20200828,99991231,VIOL-DISPOSL-DEAD ANIMAL,269020,VIOLATING PROVISIONS REGARDING DISPOSAL OF DEAD ANIMALS,269.020-001N202055
M,U,20200828,99991231,VEH TRNS DEAD ANML.UNSEN,269130,FAIL TO HAVE VEHICLE USED TO TRANSPORT BODIES OF DEAD ANIMALS CONSTRUCTED TO PREVENT SEEPAGE/DRIPPING FROM BODIES/SEEN BY PUBLIC,269.130-001N202055
F,E,20210828,99991231,RELSE WILD SWINE-2ND/SUB OFF,270260,RELEASE SWINE IN A WILD/FERAL STATE ON PUBLIC/PRIVATE LAND WITHOUT PROPER ENCLOSURE - 2ND OR SUBSEQUENT OFFENSE,270.260-001Y202162
M,A,20210828,99991231,RELEASE WILD SWINE-1ST OFF,270260,RELEASE SWINE IN A WILD/FERAL STATE ON PUBLIC/PRIVATE LAND WITHOUT PROPER ENCLOSURE - 1ST OFFENSE,270.260-002Y202162
M,A,20210828,99991231,PSS/TRNS FRL SWNE W/O PRMT-SUB,270270,POSSESS OR TRANSPORT FERAL SWINE ON OR THROUGH PUBLIC LAND WITHOUT PERMIT - 1ST OFFENSE,270.270-001Y202162
F,E,20210828,99991231,PSS/TRNS FRL SWNE W/O PRMT-SUB,270270,POSSESS OR TRANSPORT FERAL SWINE ON OR THROUGH PUBLIC LAND WITHOUT PERMIT - 2ND OR SUBSEQUENT OFFENSE,270.270-002Y202162
M,A,20210828,99991231,KILL FRL SWINE W/O CONSET LDWR,270400,TAKE OR KILL FERAL SWINE WITHOUT CONSENT OF LANDOWNER,270.400-001Y202162
M,A,20210828,99991231,KILL SWINE-LIGHT/THERML IMAGRY,270400,UNAUTHORIZED PERSON TAKE/ATTEMPT TO TAKE OR KILL FERAL SWINE W/ ARTIFICIAL LIGHT OR THERMAL IMAGERY,270.400-002Y202162
M,A,20200828,99991231,OPER ANML FAC/DEAL W/O LIC.,273329,OPERATE ANIMAL CARE FACILITY AS A BREEDER OR DEALER WITHOUT LICENSE,273.329-001Y202055
M,A,20200828,99991231,DEALER PUR ANMLS-UNLCNSE PER.,273340,DEALER PURCHASE OF ANIMALS FROM UNLICENSED PERSON,273.340-001N202055
M,A,20200828,99991231,CANINE CRUELTY-2ND/SUBSQT OFFN,273347,CANINE CRUELTY - 2ND OR SUBSEQUENT OFFENSE,273.347-001Y202055
M,C,20200828,99991231,CANINE CRUELTY - 1ST OFFENSE,273347,CANINE CRUELTY - 1ST OFFENSE,273.347-002Y202055
M,A,20200828,99991231,VIOL RLS/STNDRDS-ANML CARE FAC,273348,VIOLATING RULES/STANDARDS REGARDING ANIMAL CARE FACILITIES,273.348-001Y202055
I,,20200828,99991231,SHIP DISEASED ANIMALS,273350,SHIPMENT OF DISEASED ANIMALS,273.350-001N202055
M,A,20200828,99991231,HOUSE ANIMALS IN STACKED CAGES,273359,HOUSING ANIMALS IN STACKED CAGES WITHOUT AN IMPERVIOUS BARRIER BETWEEN CAGE LEVELS,273.359-001Y202055
F,D,20200828,99991231,FILING OF FALSE FINANCIAL STATEMENTS BY GRAIN DEALERS,276421,FILING OF FALSE FINANCIAL STATEMENTS BY GRAIN DEALERS,276.421-001Y202026
F,D,20200828,99991231,PROVIDE FALSE RECORDS OR WITHHOLD ACCOUNTS BY GRAIN DEALER,276536,PROVIDE FALSE RECORDS OR WITHHOLD ACCOUNTS BY GRAIN DEALER,276.536-001Y202073
M,B,20200828,99991231,VIOL PROV RE GRAIN/PROD EXCHANGES,276536,VIOLATE PROVISIONS OF SECTION 276.536 REGARDING STOCKYARDS/GRAIN/PRODUCE EXCHANGES,276.536-002N202073
M,U,20200828,99991231,FAIL GR DEAL DISP LIC NO,276582,FAILURE OF GRAIN DEALER TO DISPLAY LICENSING NOTICE,276.582-001N202026
F,E,20200828,99991231,BRIBING LIVESTOCK MARKET OPERATOR/VETERINARIAN TO VIOLATE PROVISIONS OF RSMO 277,277180,BRIBING LIVESTOCK MARKET OPERATOR OR VETERINARIAN TO VIOLATE PROVISIONS OF CHAPTER 277,277.180-001Y202051
M,A,20200828,99991231,VIOL LEO LIVESTOCK HOLD ORDER,277190,VIOLATE LIVESTOCK HOLD ORDER FROM LAW ENFORCEMENT OR NONCOMPLIANCE PURSUANT TO THIS SECTION,277.190-001Y202048
M,A,20200828,99991231,KNOW ACCPT TAX CRED ILL ALIEN,285025,KNOWINGLY ACCEPT STATE ADMINISTERED/SUBSIDIZED TAX CREDIT/TAX ABATEMENT OR LOAN FROM STATE WHEN NEGLIGENTLY EMPLOYING AN ILLEGAL ALIEN,285.025-001Y202061
M,A,20200828,99991231,IMPLANT MICROCHIP ID IN EMPLYE,285035,EMPLOYER REQUIRING IMPLANT OF PERSONAL IDENTIFICATION MICROCHIP TECHNOLOGY INTO AN EMPLOYEE,285.035-001Y202057
F,E,20200828,99991231,EMPLOYEE REFUSAL TO COMPLETE CHILD SUPPORT WITHHOLDING FORM,285306,EMPLOYEE REFUSAL TO COMPLETE CHILD SUPPORT WITHHOLDING FORM,285.306-001Y202026
F,E,20200828,99991231,EMPLOYEE LIES ON WITHHOLDING FORM THAT CHILD SUPPORT NOT OWED WHEN EMPLOYEE OWES,285308,EMPLOYEE STATES ON WITHHOLDING FORM THAT CHILD SUPPORT IS NOT OWED WHEN SUCH EMPLOYEE KNOWINGLY OWES SUPPORT,285.308-001Y202026
M,A,20200828,99991231,FL EMPLR POST NOTICE WC COVER,287127,FAILURE OF EMPLOYER TO POST NOTICE REGARDING WORKER'S COMPENSATION COVERAGE,287.127-001Y202055
F,D,20200828,99991231,"VIOLATION OF RSMO 287.128.1, .2 OR .3 REGARDING WORKERS COMP CLAIM - SUBS OFF",287128,"VIOLATION OF ANY PROVISIONS OF RSMO 287.128.1, .2 OR .3 REGARDING CLAIMS FOR WORKER'S COMPENSATION BENEFITS - SUBSEQUENT OFFENSE",287.128-001Y202026
M,A,20200828,99991231,VIOL SEC 287.128 RE WC BENFTS,287128,VIOLATION OF ANY OF THE PROVISIONS OF SECTION 287.128.3 REGARDING CLAIMS FOR WORKER'S COMPENSATION BENEFITS - 1ST OFFENSE,287.128-002Y202026
F,E,20200828,99991231,KNWG PRESENT/CAUSE TO BE PRESENTED A FALSE WORKER'S COMP CLAIM,287128,KNOWINGLY PRESENT/CAUSE TO BE PRESENTED A FALSE WORKER'S COMPENSATION CLAIM,287.128-003Y202026
F,E,20200828,99991231,INSURANCE CO/SELF-INSURER REFUSE TO COMPLY W/COMPENSATION OBLIGATION - DEFRAUD,287128,REFUSAL BY INSURANCE CO/SELF-INSURER TO COMPLY W/COMPENSATION OBLIGATION W/INTENT TO DEFRAUD,287.128-004Y202026
F,E,20200828,99991231,PREPARE/PROVIDE INVALID CERTIFICATE OF INSURANCE AS PROOF OF WORKERS COMP INSURE,287128,PREPARE/PROVIDE INVALID CERTIFICATE OF INSURANCE AS PROOF OF WORKER'S COMP INSURANCE,287.128-005Y202026
F,E,20200828,99991231,MISREPRESENT WORKER'S COMP CLAIM AT LESS THAN PROPER RATE - SUB OFFENSE,287128,KNOWINGLY MISREPRESENT ANY FACT IN ORDER TO OBTAIN WORKER'S COMP INSURANCE AT LESS THAN THE PROPER RATE - SUBSEQUENT OFFENSE,287.128-006Y202026
M,A,20200828,99991231,MISRPRSNT FACT WC INS LESS RAT,287128,KNOWINGLY MISREPRESENT ANY FACT IN ORDER TO OBTAIN WORKER'S COMPENSATION INSURANCE AT LESS THAN THE PROPER RATE - 1ST OFFENSE,287.128-007Y202026
M,A,20200828,99991231,FL EMPLR INSURE WC LAW,287128,FAILURE OF EMPLOYER TO INSURE LIABILITY UNDER WORKER'S COMPENSATION LAW - 1ST OFFENSE,287.128-008Y202055
F,E,20200828,99991231,FAILURE OF EMPLOYER TO INSURE LIABILITY UNDER WORKER'S COMP LAW - SUBS OFFENSE,287128,FAILURE OF EMPLOYER TO INSURE LIABILITY UNDER WORKER'S COMP LAW - SUBSEQUENT OFNS,287.128-009Y202055
M,A,20200828,99991231,PRESENT WC CLAIM/FALSE BILLING,287129,PRESENT/PREPARE CLAIM FOR WORKER'S COMPENSATION BENEFITS BY HEALTH CARE PROVIDER BASED ON FALSE BILLING PRACTICES - 1ST OFFENSE,287.129-001Y202026
F,E,20200828,99991231,VIOLATE ANY PROVISIONS OF SEC 287.128.3 REGARDING CLAIMS FOR WORKER COMP BENEFIT,287129,VIOLATION OF ANY OF THE PROVISIONS OF SEC 287.128.3 REGARDING CLAIMS FOR WORKER'S COMP BENEFITS,287.129-002Y202026
M,U,20200828,99991231,COLLECT WORKERS COMP INSURANCE COSTS FROM EMPLOYEE,287290,COLLECT WORKERS COMPENSATION INSURANCE COSTS FROM AN EMPLOYEE,287.290-001N202026
M,U,20200828,99991231,FLR EMP/INSR RPT PSL INJ 30DAY,287380,FAILURE OF EMPLOYER/INSURER TO REPORT PERSONAL INJURY ACCIDENT WITHIN 30 DAYS OR SUBSEQUENT REPORTS WITHIN STATUTORY TIME FRAMES,287.380-001N202055
F,E,20200828,99991231,DISCLOSE OR FAIL TO PROTECT CONFIDENTIAL UNEMPLOYMENT CLAIM INFO - 2ND/SUBS OFF,288250,INTENTIONALLY DISCLOSE OR FAIL TO PROTECT CONFIDENTIAL INFO RELATING TO UNEMPLOYMENT COMPENSATION CLAIM - 2ND OR SUBSEQUENT OFFENSE,288.250-001Y202073
M,A,20200828,99991231,DSCL/FAIL PROT UNEMP COMP INFO,288250,INTENTIONALLY DISCLOSE OR FAIL TO PROTECT CONFIDENTIAL INFORMATION RELATING TO AN UNEMPLOYMENT COMPENSATION CLAIM,288.250-002Y202073
M,U,20200828,99991231,MAKE FALSE STATEMENT REG UNEMPL BENEFITS,288380,MAKING FALSE STATEMENT REGARDING UNEMPLOYMENT BENEFITS,288.380-001N202026
M,A,20200828,99991231,FRAUD/MISREP RE ES BENEFITS,288395,FRAUD/MISREPRESENTATION RELATED TO EMPLOYMENT SECURITY BENEFITS - 1ST OFFENSE,288.395-001Y202026
F,E,20200828,99991231,FRAUD/MISREPRESENTATION RELATED TO EMPLOYMENT SECURITY BENEFITS - 2ND/SUBS OFF,288395,FRAUD/MISREPRESENTATION RELATED TO EMPLOYMENT SECURITY BENEFITS - 2ND OR SUBSEQUENT OFFENSE,288.395-002Y202026
F,U,20200828,99991231,STATE AUDTR EXAMN-VIOL OATH OFFICE,29080,STATE AUDITOR EXAMINER - VIOLATE OATH OF OFFICE OR ANY DUTY IMPOSED BY CHAPTER 29,29.080-001Y202073
M,A,20200828,99991231,MAKE FALSE REPORT TO AUDITOR,29250,MAKE FALSE/MISLEADING/UNFOUNDED REPORT TO AUDITOR,29.250-001Y202073
M,A,20200828,99991231,REFUS COMPLY STATE AUDTR PRVSN,29250,REFUSE OR FAIL TO COMPLY WITH STATE AUDITOR CHAPTER PROVISIONS,29.250-002Y202073
M,U,20200828,99991231,FAIL PAY WAGES IN REQUIRED TIME,290080,FAILURE TO PAY WAGES WITHIN REQUIRED TIME,290.080-001N202073
M,B,20200828,99991231,VIO PREVAIL WAGE PUB WORK,290340,WILLFULLY VIOLATED OR FAILED TO COMPLY WITH SECTIONS 290.210- 290.340 REGARDING PREVAILING HOURLY WAGES ON PUBLIC WORKS,290.340-001N202073
M,C,20200828,99991231,HNDR DPT LBR INDSTRL-MINM WAGE,290525,"HINDERING DEPARTMENT OF LABOR AND INDUSTRIAL RELATIONS REGARDING ""MINIMUM WAGE ACT""",290.525-001N202073
I,,20200828,99991231,FAILS TO USE MO LABORERS,290575,KNOWINGLY FAIL TO USE MISSOURI LABORERS OR LABORERS FROM NON-RESTRICTIVE STATES IN TIME OF EXCESSIVE UNEMPLOYMENT,290.575-001N202073
M,C,20200828,99991231,REQUIRE ILLEGAL EMPLOYMENT CONDITIONS UNDER THIS SECTION,290590,REQUIRE ILLEGAL EMPLOYMENT CONDITIONS UNDER THIS SECTION,290.590-001N202073
M,C,20200828,99991231,VIOL PROV.-HAZARDOUS SUB IN WP,292615,VIOLATING PROVISIONS REGARDING HAZARDOUS SUBSTANCES IN WORK PLACE,292.615-001N202055
M,U,19950828,99991231,FAIL PROV 1 TOILET/20 WO,292630,FAILURE TO PROVIDE AT LEAST 1 PORTABLE TOILET PER 20 CONSTRUCTION WORKERS,292.630-001N199555
M,A,20200828,99991231,VIOLATION OF CHILD LABOR LAW,294110,VIOLATION OF CHILD LABOR LAW,294.110-001N202055
F,U,20200828,99991231,STATE TREASURER MISHANDLE MONEY,30400,VIOLATION OF PROVISIONS OF SECTION 30.400 REGARDING STATE TREASURER'S HANDLING OF STATE MONEY OR BONDS,30.400-001Y202073
M,A,20200828,99991231,FLS STAT LOAN APLIC BY FRM OP,30756,"FALSE STATEMENT ON LOAN APPLICATION BY FARMING OPERATION, SMALL BUSINESS OR JOB ENHANCEMENT BUSINESS",30.756-001Y202026
I,,20100416,99991231,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK WEIGHT LIMITS,301010,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK WEIGHT LIMITS,301.010-001N201054
I,,20100416,99991231,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK DIMENSION LIMITS,301010,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK DIMENSION LIMITS,301.010-002N201054
I,,20100416,99991231,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK TRACTOR WEIGHT LIMITS,301010,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK TRACTOR WEIGHT LIMITS,301.010-003N201054
I,,20100416,99991231,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK TRACTOR AXLE LIMITS,301010,VIOLATE PROVISIONS REGARDING LOCAL LOG TRUCK TRACTOR AXLE LIMITS,301.010-004N201054
M,B,19860813,99991231,NO VEH/TRL REGISTRATION,301020,FAILURE TO REGISTER MOTOR VEHICLE/TRAILER ANNUALLY WITH DIRECTOR OF REVENUE,301.020-001N198654
M,B,19860813,99991231,FAIL TO SURRENDER TITLE,301020,OWNER/LIENHOLDER FAILED TO SURRENDER TITLE OF RECONSTRUCTED VEHICLE TO DEPARTMENT OF REVENUE,301.020-002N198654
M,B,19490828,99991231,OUT OF STATE REGISTRATION,301020,FAIL TO REGISTER OUT-OF-STATE REGISTERED VEHICLE/TRAILER IN MISSOURI WHEN MISSOURI RESIDENT,301.020-003N194954
M,B,19490828,99991231,FAIL REG SUFFIC GROSS WT,301020,FAIL TO REGISTER COMMERCIAL PROPERTY CARRYING VEHICLE FOR SUFFICIENT GROSS WEIGHT,301.020-004N194954
M,B,19490828,99991231,FAIL REG FOR SEATING CAP,301020,FAIL TO REGISTER COMMERCIAL PROPERTY/PASSENGER CARRYING VEHICLE FOR THE SEATING CAPACITY  FOR BEYOND LOCAL OPERATION,301.020-005N194954
M,B,19490828,99991231,FAIL REG FOR BEYOND LOCAL OP,301020,FAIL TO REGISTER COMMERCIAL PROPERTY/PASSENGER CARRYING VEHICLE FOR BEYOND LOCAL OPERATION,301.020-006N194954
M,B,19490828,99991231,FAIL REG CMV AS DESIGNED,301020,FAIL TO REGISTER VEHICLE AS COMMERCIAL MOTOR VEHICLE WHEN VEHICLE IS SO DESIGNED/CONSTRUCTED/MODIFIED,301.020-007N194954
M,A,20040828,99991231,NO REGISTR PLATE DISPLAYED-CMV,301041,FAIL TO DISPLAY REGISTRATION PLATE ON COMMERCIAL MOTOR VEHICLE,301.041-001N200454
I,,20040828,99991231,VIOL DRIVEAWAY LIC PLATE RESTRCT,301069,VIOLATE DRIVEAWAY LICENSE PLATE RESTRICTIONS,301.069-001N200454
M,A,20120828,99991231,USE REVOKED DRIVEAWAY LIC PLATE,301069,USE A REVOKED DRIVEAWAY LICENSE PLATE,301.069-002N201254
I,,20090828,99991231,DISABLED VET LICENSE OFFENSE,301074,FAIL TO FURNISH ANNUAL PROOF OF VEHICLE INSPECTION AND DISABILITY TO DEPARTMENT OF REVENUE WHEN ISSUED A DISABLED VETERAN LICENSE,301.074-001N200954
M,A,19840813,99991231,OP MV TITLE SVC AGNT W/O LICNS,301114,OPERATE AS MOTOR VEHICLE TITLE SERVICE AGENT WITHOUT A LICENSE,301.114-001N198454
I,,20090828,99991231,TAB NOT PROPERLY AFFIXED/DISPLAYED,301130,FAIL TO PROPERLY AFFIX OR DISPLAY TAB ON MOTOR VEHICLE LICENSE PLATE,301.130-001N200954
I,,20090828,99991231,FAILED TO DISPLAY PLATES ON MV/TRL,301130,FAILED TO DISPLAY PLATES ON MOTOR VEHICLE/TRAILER,301.130-002N200954
I,,20090828,99991231,FAIL TO AFFIX MOT VEH/ TRLR PLATES,301130,FAIL TO PROPERLY AFFIX/FASTEN TO OR MAINTAIN MOTOR VEHICLE/TRAILER PLATES,301.130-003N200954
I,,20090828,99991231,EXCED 1000 MILE PERS USE-HIST VEHI,301131,"EXCEEDED 1,000 MILES PERSONAL USE OF HISTORIC MOTOR VEHICLE",301.131-001N200954
I,,20090828,99991231,DSPL HISTORIC PLATE-NOT EXHIB/EDUC,301131,DISPLAYED HISTORIC PLATES WHEN USED FOR PURPOSES OTHER THAN EXHIBITION OR EDUCATION,301.131-002N200954
I,,20090828,99991231,OWNER HISTORIC MV-FAIL MILEAGE LOG,301131,HISTORIC MOTOR VEHICLE OWNER FAILED TO MAINTAIN MILEAGE LOG,301.131-003N200954
I,,20090828,99991231,OPER SELF-PROP CONST EQUIP ILLEGALLY,301133,OPERATE UNLICENSED SELF-PROPELLED CONSTRUCTIONS EQUIPMENT ON SATURDAY/SUNDAY/LEGAL HOLIDAY,301.133-001N200954
I,,20090828,99991231,DISPLAY/POSSESS PLATES OF ANOTHER,301140,DISPLAYED OR POSSESSED MOTOR VEHICLE/TRAILER PLATES OF ANOTHER PERSON,301.140-001N200954
I,,20090828,99991231,FAIL TO TRANSFER PLATES W/I 30 DAYS,301140,FAIL TO TRANSFER PLATES OF VEHICLE WITHIN 30 DAYS,301.140-002N200954
M,B,20200828,99991231,DOC FALSE CERT DISAB-LIC PLATE,301141,PHYSICIAN OR OTHER HEALTH CARE PRACTITIONER FALSELY VERIFY OR CERTIFY A DISABILITY FOR A LICENSE PLATE,301.141-001N202026
M,B,20050101,99991231,OBTAIN BY FRAUD/USE DISABL PLACARD,301141,FRAUDULENTLY OBTAIN/USE A DISABLED PERSON LICENSE PLATE/WINDSHIELD PLACARD,301.141-002N200554
M,B,19860101,99991231,IMPROPER CERT-DISABLED LICENSE PLATE,301142,IMPROPER CERTIFICATION FOR DISABLED LICENSE PLATE OR WINDSHIELD PLACARD,301.142-001N198626
M,A,20200828,99991231,ISSUE USE OF DSABLD LICNSE PLA,301142,FRAUDULENT APPLICATION/RENEWAL/ISSUE OF DISABLED PERSON LICENSE PLATE OR WINDSHIELD PLACARD,301.142-002N202054
M,B,20050101,99991231,NO RETURN OF HANDICAP LIC-DECEASED,301142,FAIL TO RETURN HANDICAP LICENSE PLATE/WINDSHIELD PLACARD OF DECEASED PERSON,301.142-003N200554
I,,20180828,99991231,FAIL TO SURRENDER DISABLED LIC PLATE/REM WINDSHIELD PLACARD WTHN 30 DAYS TO DOR,301142,FAIL TO SURRENDER DISABLED LICENSE PLATE/REMOVABLE WINDSHIELD PLACARD WITHIN 30 DAYS TO DOR,301.142-004N201854
M,B,20050101,99991231,UNAUTHORIZED USE-HANDICAP LIC PL,301143,USE HANDICAP LICENSE PLATE/PLACARD WITHOUT AUTHORIZATION,301.143-001N200554
I,,19860813,99991231,PARKED IN HANDICAP SPACE,301143,PARKED IN SPACE RESERVED FOR PHYSICALLY DISABLED PERSON WITHOUT PROPER LICENSE/CARD,301.143-002N198654
I,,20090828,99991231,FAIL REMOVE PLATE ON SALE/TRANSF,301150,FAILED TO REMOVE MONTHLY SERIES LICENSE PLATE ON SALE OR TRANSFER OF VEHICLE OWNERSHIP,301.150-001N200954
I,,20090828,99991231,OPER MOTOR VEH/TRLR W/O TITLE,301190,OPERATE MOTOR VEHICLE/TRAILER THAT NO TITLE HAS BEEN ISSUED FOR BY DEPARTMENT OF REVENUE SINCE VEHICLE WAS ACQUIRED/BUILT,301.190-001N200954
I,,20090828,99991231,FAIL TO COLLECT ID/ODOM VERIFICATION,301190,FAILURE TO COLLECT FEE IDENTIFICATION/ODOMETER VERIFICATION,301.190-002N200954
M,C,20040828,99991231,FALSE INFO-TRANSFER OF VEHICLE,301198,KNOWINGLY SUBMIT FALSE INFORMATION ABOUT TRANSFER OF VEHICLE,301.198-001N200454
M,C,20060101,99991231,FRAUD-SUBMIT NOTICE OF TRANSFER,301198,FRAUDULENTLY FAIL TO SUBMIT NOTICE OF TRANSFER,301.198-002N200654
I,,20040828,99991231,FAIL TO SUBMIT NOTICE OF TRANSFER,301198,FAIL TO SUBMIT NOTICE OF TRANSFER,301.198-003N200454
I,,20200828,99991231,DEALER FAIL DELIVER BILL OF SALE,301200,DEALER FAILED TO DELIVER BILL OF SALE ON PRESCRIBED FORM,301.200-001N202054
I,,20090828,99991231,POSSESS OPEN TITLE ON MOT VEH/TRLR,301210,SELL/PURCHASE MOTOR VEHICLE OR TRAILER REGISTERED IN THIS STATE WITHOUT TRANSFERRING CERTIFICATE OF OWNERSHIP,301.210-001N200954
I,,20090828,99991231,FAIL DELIVER OWNERSHIP CERTIFICATE,301210,FAILURE TO DELIVER/RECEIVE CERTIFICATE OF OWNERSHIP UPON SALE/TRANSFER OF OWNERSHIP OF MOTOR VEHICLE/TRAILER,301.210-002N200954
M,A,19860813,99991231,SELL VEH PATRS W/O LIC,301218,CONDUCTED BUSINESS OF SELLING USED MOTOR VEHICLE PARTS WITHOUT LICENSE FROM DEPARTMENT OF REVENUE,301.218-001N198654
M,A,19860813,99991231,SALVAGE OPERATE W/O LIC,301218,CONDUCTED MOTOR VEHICLE SALVAGE BUSINESS WITHOUT LICENSE FROM DEPARTMENT OF REVENUE,301.218-002N198654
M,A,19860813,99991231,REBUILD VEHS W/O LIC,301218,CONDUCTED BUSINESS OF REBUILDING/REPAIR 4 OR MORE WRECKED/DISMANTLED VEHICLES IN CALENDAR YEAR WITHOUT LICENSE FROM DEPARTMENT OF REVENUE,301.218-003N198654
M,A,19860813,99991231,SCRAP/VEH/PARTS W/O LIC,301218,CONDUCTED MOBILE BUSINESS OF SCRAPPING VEHICLES/PARTS FOR METAL WITHOUT LICENSE FROM DEPARTMENT OF REVENUE,301.218-004N198654
M,A,19860813,99991231,ILL SALE SALVAGE VEHICLE,301218,OPERATOR OF SALVAGE POOL SOLD VEHICLE TO PERSON NOT LICENSED AS SALVAGE DEALER,301.218-005N198654
M,A,19860813,99991231,SAL OPR W/O PROPER RECORDS,301218,SALVAGE POOL OPERATOR FAILED TO MAINTAIN PROPER RECORD OF VEHICLE SALES,301.218-006N198654
M,A,19860813,99991231,FAIL TO MAINT REC/SELL,301225,BUSINESS SELLING USED VEHICLE PARTS FAILED TO MAINTAIN RECORDS/OPEN RECORDS FOR INSPECTION,301.225-001N198654
